,P1,P2,C,First_Base,Second_Base,Third_Base,SS,OF1,OF2,OF3,Salary,Ownership,Profit,Selections,ARI,CHC,CIN,COL,LAD,NYM,PHI,PIT,SD,SF,Mean,Median,80th Percentile,95th Percentile,Value,UCB
1119,Kodai Senga (27560531),Roansy Contreras (27560538),Gabriel Moreno (27560656),Carlos Santana (27560604),Ketel Marte (27560573),Ke'Bryan Hayes (27560582),Geraldo Perdomo (27560593),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Corbin Carroll (27560580),49500.0,169.5,10557.100000000168,4171.0,4,0,0,0,0,0,0,4,0,0,91.37747399999958,87.775,115.1,146.5005,1.531071685447175,2.535796445721667
1120,Kodai Senga (27560531),Sean Manaea (27560532),Blake Sabol (27560631),Matt Carpenter (27560644),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Juan Soto (27560557),Kris Bryant (27560547),Yonathan Daza (27560621),49800.0,181.9,10653.200000000192,4209.0,0,0,0,2,0,0,0,0,5,1,102.163754,98.445,127.82400000000001,160.271,1.531052506533664,2.5357108517712215
1121,Kodai Senga (27560531),Michael Wacha (27560533),Austin Hedges (27560641),Freddie Freeman (27560548),Ji Hwan Bae (27560578),Max Muncy (27560561),Rodolfo Castro (27560615),Andrew McCutchen (27560556),David Peralta (27560638),Trayce Thompson (27560625),49800.0,152.2,10498.800000000181,4148.0,0,0,0,0,4,0,0,4,0,0,102.11158799999995,98.81,128.812,161.80149999999998,1.531051108968221,2.5356333112596605
1122,Kodai Senga (27560531),Matt Strahm (27560537),Gabriel Moreno (27560656),Eric Hosmer (27560639),Ketel Marte (27560573),Josh Rojas (27560572),Dansby Swanson (27560546),Cody Bellinger (27560612),Corbin Carroll (27560580),Seiya Suzuki (27560554),49200.0,178.7,10632.900000000203,4201.0,4,4,0,0,0,0,0,0,0,0,88.41638300000001,85.85,110.84,136.98,1.5310402285170681,2.535540817687473
1123,Kodai Senga (27560531),Michael Wacha (27560533),Austin Hedges (27560641),Matt Carpenter (27560644),Rodolfo Castro (27560615),Ke'Bryan Hayes (27560582),Fernando Tatis Jr. (27560856),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Juan Soto (27560557),49300.0,195.3,10625.300000000214,4198.0,0,0,0,0,0,0,0,5,3,0,97.93378800000005,95.03,123.12200000000001,152.69099999999997,1.5310385898047199,2.5356853204156917
1124,Matt Strahm (27560537),Michael Wacha (27560533),Yan Gomes (27560620),Pete Alonso (27560545),Jeff McNeil (27560600),Patrick Wisdom (27560569),Dansby Swanson (27560546),Cody Bellinger (27560612),Ian Happ (27560555),Tommy Pham (27560606),50000.0,147.5,10564.400000000169,4174.0,0,5,0,0,0,3,0,0,0,0,94.0167759999998,91.03,118.74400000000001,148.60149999999996,1.531001437470093,2.5356509283912487
1125,Kodai Senga (27560531),Luke Weaver (27560539),Tyler Stephenson (27560568),Pete Alonso (27560545),Jeff McNeil (27560600),Eduardo Escobar (27560626),Francisco Lindor (27560562),Juan Soto (27560557),Mark Canha (27560609),Trent Grisham (27560597),49800.0,125.2,10632.700000000192,4201.0,0,0,1,0,0,5,0,0,2,0,96.18324399999986,92.775,119.52,148.56499999999994,1.530992620804616,2.535540817687473
1126,Michael Wacha (27560533),Sean Manaea (27560532),J.T. Realmuto (27560544),Matt Carpenter (27560644),Josh Harrison (27560647),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Jake Cave (27560637),Juan Soto (27560557),Kyle Schwarber (27560542),50000.0,192.9,10561.800000000188,4173.0,0,0,0,0,0,0,4,0,4,0,98.71612299999977,95.91499999999999,124.11,153.68349999999995,1.5309849029475648,2.5355396537515147
1127,Kodai Senga (27560531),Ryne Nelson (27560535),Austin Hedges (27560641),Carlos Santana (27560604),Rodolfo Castro (27560615),Ke'Bryan Hayes (27560582),Francisco Lindor (27560562),Brandon Nimmo (27560577),Bryan Reynolds (27560543),Mark Canha (27560609),49500.0,124.4,10523.80000000018,4158.0,0,0,0,0,0,3,0,5,0,0,91.79390200000009,88.535,115.94,143.67149999999995,1.5309764309764742,2.5355476130603827
1128,Matt Strahm (27560537),Sean Manaea (27560532),Austin Hedges (27560641),Christian Walker (27560614),Ketel Marte (27560573),Josh Rojas (27560572),Geraldo Perdomo (27560593),Bryan Reynolds (27560543),Corbin Carroll (27560580),Juan Soto (27560557),50000.0,164.1,10594.60000000016,4186.0,5,0,0,0,0,0,0,2,1,0,92.37372499999971,89.45,115.772,145.35299999999995,1.5309603440038606,2.535548727927633
1129,Luke Weaver (27560539),Michael Wacha (27560533),Elias Diaz (27560587),Pete Alonso (27560545),Ryan McMahon (27560570),Eduardo Escobar (27560626),Francisco Lindor (27560562),Brandon Nimmo (27560577),Jurickson Profar (27560592),Kris Bryant (27560547),49900.0,72.9,10480.700000000197,4141.0,0,0,0,4,0,4,0,0,0,0,85.89787100000014,83.315,108.26,134.57349999999994,1.5309587056267078,2.535572802488547
1130,Kodai Senga (27560531),Luke Weaver (27560539),Austin Nola (27560668),Freddie Freeman (27560548),Jake Cronenworth (27560588),Max Muncy (27560561),Xander Bogaerts (27560559),J.D. Martinez (27560567),James Outman (27560581),Trayce Thompson (27560625),49200.0,175.0,10513.60000000019,4154.0,0,0,0,0,5,0,0,0,3,0,97.32104399999984,93.86,121.96400000000001,154.47099999999998,1.5309581126625396,2.535581842827413
1131,Kodai Senga (27560531),Sean Manaea (27560532),Elias Diaz (27560587),Matt Carpenter (27560644),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Juan Soto (27560557),Yonathan Daza (27560621),Ji Hwan Bae (27560578),49200.0,189.8,10493.300000000203,4146.0,0,0,0,2,0,0,0,1,5,0,104.72545399999996,101.16,131.58200000000002,165.59099999999998,1.5309454896286065,2.535650500507736
1132,Matt Strahm (27560537),Sean Manaea (27560532),Austin Nola (27560668),Connor Joe (27560595),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Juan Soto (27560557),49400.0,210.3,10559.100000000202,4172.0,0,0,0,0,0,0,0,3,5,0,105.10502499999977,101.74,132.46200000000002,167.11,1.530944391179339,2.5356680189609473
1133,Kodai Senga (27560531),Luke Weaver (27560539),Austin Nola (27560668),Matt Carpenter (27560644),Bryson Stott (27560585),Manny Machado (27560564),Trea Turner (27560541),Juan Soto (27560557),Kyle Schwarber (27560542),Josh Harrison (27560647),49500.0,167.8,10551.50000000019,4169.0,0,0,0,0,0,0,4,0,4,0,98.28154399999988,95.57,122.29,153.3005,1.5309426721036674,2.535573752723692
1134,Kodai Senga (27560531),Roansy Contreras (27560538),Gabriel Moreno (27560656),Carlos Santana (27560604),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Juan Soto (27560557),49200.0,224.3,10505.900000000212,4151.0,1,0,0,0,0,0,0,3,4,0,99.40937399999964,96.315,124.712,156.7505,1.530932305468613,2.5354871055420554
1135,Kodai Senga (27560531),Michael Wacha (27560533),Elias Diaz (27560587),Matt Carpenter (27560644),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Andrew McCutchen (27560556),Juan Soto (27560557),Ji Hwan Bae (27560578),50000.0,187.9,10541.300000000201,4165.0,0,0,0,1,0,0,0,2,5,0,106.85898799999997,103.05000000000001,134.21200000000002,168.15099999999998,1.5309243697479475,2.535607917192094
1136,Kodai Senga (27560531),Sean Manaea (27560532),Elias Diaz (27560587),Matt Carpenter (27560644),Ha-Seong Kim (27560636),Manny Machado (27560564),Fernando Tatis Jr. (27560856),J.D. Martinez (27560567),James Outman (27560581),Juan Soto (27560557),49800.0,218.7,10480.500000000211,4141.0,0,0,0,1,2,0,0,0,5,0,92.2566539999999,89.42,115.17400000000002,142.7105,1.530910408114033,2.535572802488547
1137,Matt Strahm (27560537),Michael Wacha (27560533),J.T. Realmuto (27560544),Jason Vosler (27560629),Jonathan India (27560549),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Jake Fraley (27560563),Juan Soto (27560557),Wil Myers (27560610),49800.0,182.6,10500.700000000212,4149.0,0,0,4,0,0,0,1,0,3,0,101.03137599999982,98.515,125.51,155.23099999999997,1.5308990118101258,2.535504211883604
1138,Kodai Senga (27560531),Matt Strahm (27560537),Yan Gomes (27560620),Alec Bohm (27560565),Nico Hoerner (27560571),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Cody Bellinger (27560612),Ian Happ (27560555),Juan Soto (27560557),49700.0,237.1,10452.60000000024,4130.0,0,4,0,0,0,0,1,0,3,0,102.46518300000002,99.695,126.89600000000003,155.85099999999997,1.530895883777298,2.535546483076289
1139,Kodai Senga (27560531),Sean Manaea (27560532),Austin Barnes (27560670),Christian Walker (27560614),Ketel Marte (27560573),Max Muncy (27560561),Geraldo Perdomo (27560593),Corbin Carroll (27560580),J.D. Martinez (27560567),Trayce Thompson (27560625),50000.0,164.4,10452.600000000164,4130.0,4,0,0,0,4,0,0,0,0,0,91.94675399999994,89.2,115.98600000000003,145.80149999999998,1.5308958837772795,2.535546483076289
1140,Kodai Senga (27560531),Michael Wacha (27560533),Elias Diaz (27560587),C.J. Cron (27560550),Ryan McMahon (27560570),Elehuris Montero (27560608),Fernando Tatis Jr. (27560856),Juan Soto (27560557),Trayce Thompson (27560625),Trent Grisham (27560597),49500.0,144.6,10617.10000000018,4195.0,0,0,0,4,1,0,0,0,3,0,88.1591880000001,85.77,109.492,133.9,1.5308939213349655,2.5355916507997787
1141,Kodai Senga (27560531),Luke Weaver (27560539),Elias Diaz (27560587),Freddie Freeman (27560548),Ryan McMahon (27560570),Max Muncy (27560561),Alan Trejo (27560682),James Outman (27560581),Kris Bryant (27560547),Trayce Thompson (27560625),49600.0,138.5,10561.400000000187,4173.0,0,0,0,4,4,0,0,0,0,0,93.00514399999994,89.725,116.73200000000001,145.83599999999993,1.5308890486461029,2.5355396537515147
1142,Matt Strahm (27560537),Sean Manaea (27560532),Austin Hedges (27560641),LaMonte Wade Jr. (27560618),Thairo Estrada (27560551),J.D. Davis (27560574),Xander Bogaerts (27560559),Juan Soto (27560557),Michael Conforto (27560584),Mike Yastrzemski (27560586),49900.0,123.3,10488.000000000116,4144.0,0,0,0,0,0,0,0,1,2,5,97.13432499999966,91.76,124.80400000000002,162.38199999999998,1.530888030888059,2.535667706347749
1143,Kodai Senga (27560531),Luke Weaver (27560539),J.T. Realmuto (27560544),Freddie Freeman (27560548),Bryson Stott (27560585),Alec Bohm (27560565),Fernando Tatis Jr. (27560856),David Peralta (27560638),J.D. Martinez (27560567),James Outman (27560581),49500.0,216.3,10480.4000000002,4141.0,0,0,0,0,4,0,3,0,1,0,100.17774399999983,98.045,122.81400000000002,150.83649999999992,1.5308862593576913,2.535572802488547
1144,Kodai Senga (27560531),Michael Wacha (27560533),Austin Nola (27560668),Pete Alonso (27560545),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Juan Soto (27560557),Tommy Pham (27560606),Jeff McNeil (27560600),49400.0,181.8,10538.600000000197,4164.0,0,0,0,0,0,3,0,0,5,0,105.1282879999999,102.155,132.26600000000002,164.85149999999996,1.5308837656100376,2.5354963917159155
1145,Kodai Senga (27560531),Michael Wacha (27560533),Elias Diaz (27560587),Freddie Freeman (27560548),Luke Williams (27560691),Max Muncy (27560561),Alan Trejo (27560682),J.D. Martinez (27560567),James Outman (27560581),Jurickson Profar (27560592),49600.0,167.9,10604.30000000017,4190.0,0,0,0,3,5,0,0,0,0,0,96.18968800000005,92.75999999999999,121.16800000000002,153.24349999999995,1.5308591885441933,2.535514791194528
1146,Kodai Senga (27560531),Matt Strahm (27560537),Austin Barnes (27560670),Freddie Freeman (27560548),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),James Outman (27560581),Juan Soto (27560557),Seiya Suzuki (27560554),49800.0,258.5,10437.200000000208,4124.0,0,1,0,0,3,0,0,0,4,0,101.77968299999998,98.795,126.4,156.28199999999998,1.5308438409311853,2.5355981995890087
1147,Kodai Senga (27560531),Matt Strahm (27560537),Yan Gomes (27560620),Pete Alonso (27560545),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Brandon Nimmo (27560577),Juan Soto (27560557),Jeff McNeil (27560600),49300.0,216.9,10482.700000000192,4142.0,0,1,0,0,0,3,0,0,4,0,106.63998300000006,103.32499999999999,132.49,163.92049999999998,1.5308305166586653,2.535443499542509
1148,Kodai Senga (27560531),Matt Strahm (27560537),Gabriel Moreno (27560656),Freddie Freeman (27560548),Ketel Marte (27560573),Josh Rojas (27560572),Francisco Lindor (27560562),Alek Thomas (27560674),J.D. Martinez (27560567),James Outman (27560581),49600.0,193.6,10442.200000000164,4126.0,4,0,0,0,3,1,0,0,0,0,88.53598300000003,85.89,108.89400000000002,134.89,1.5308288899661087,2.5355809440390384
1149,Luke Weaver (27560539),Michael Wacha (27560533),Tyler Stephenson (27560568),Jason Vosler (27560629),Nico Hoerner (27560571),Nick Senzel (27560653),Dansby Swanson (27560546),Ian Happ (27560555),Jake Fraley (27560563),Seiya Suzuki (27560554),49800.0,100.6,10475.100000000195,4139.0,0,4,4,0,0,0,0,0,0,0,95.52057099999986,92.375,120.3,151.67199999999997,1.5308287025852125,2.5355899915692373
1150,Kodai Senga (27560531),Sean Manaea (27560532),Gabriel Moreno (27560656),Christian Walker (27560614),Ketel Marte (27560573),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Corbin Carroll (27560580),Juan Soto (27560557),Trent Grisham (27560597),49500.0,208.7,10591.500000000213,4185.0,4,0,0,0,0,0,0,0,4,0,91.3784539999999,88.845,114.40200000000002,143.20099999999996,1.5308243727599076,2.5354377479343064
1151,Luke Weaver (27560539),Michael Wacha (27560533),Elias Diaz (27560587),Jake Cronenworth (27560588),Nico Hoerner (27560571),Elehuris Montero (27560608),Dansby Swanson (27560546),Cody Bellinger (27560612),Ian Happ (27560555),Seiya Suzuki (27560554),49200.0,120.7,10485.200000000194,4143.0,0,5,0,2,0,0,0,0,1,0,94.5925709999999,90.89,119.64600000000003,151.23099999999997,1.5308230750664238,2.535555630003638
1152,Kodai Senga (27560531),Luke Weaver (27560539),Austin Nola (27560668),C.J. Cron (27560550),Ryan McMahon (27560570),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Juan Soto (27560557),Jurickson Profar (27560592),Kris Bryant (27560547),49500.0,149.4,10513.000000000182,4154.0,0,0,0,4,0,0,0,0,4,0,90.13204399999995,87.51,112.92,141.13099999999997,1.5308136735676894,2.535581842827413
1153,Kodai Senga (27560531),Michael Wacha (27560533),J.T. Realmuto (27560544),Matt Carpenter (27560644),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Juan Soto (27560557),Jurickson Profar (27560592),Yonathan Daza (27560621),49600.0,193.5,10538.300000000232,4164.0,0,0,0,2,0,0,1,0,5,0,99.62068800000002,95.89,125.18400000000003,157.03749999999988,1.530811719500536,2.5354963917159155
1154,Matt Strahm (27560537),Michael Wacha (27560533),Austin Nola (27560668),Jake Cronenworth (27560588),Nico Hoerner (27560571),Manny Machado (27560564),Dansby Swanson (27560546),Cody Bellinger (27560612),Ian Happ (27560555),Juan Soto (27560557),50000.0,184.1,10442.100000000208,4126.0,0,4,0,0,0,0,0,0,4,0,99.47027599999991,96.74000000000001,124.26600000000003,155.27149999999997,1.5308046534174038,2.5355809440390384
1155,Kodai Senga (27560531),Sean Manaea (27560532),Tyler Stephenson (27560568),Matt Carpenter (27560644),Jake Cronenworth (27560588),Spencer Steer (27560617),Fernando Tatis Jr. (27560856),Jake Fraley (27560563),Juan Soto (27560557),Wil Myers (27560610),49500.0,180.4,10507.900000000212,4152.0,0,0,4,0,0,0,0,0,4,0,105.65115399999996,102.155,133.072,167.32099999999997,1.5308044315992804,2.5353581346592176
1156,Kodai Senga (27560531),Matt Strahm (27560537),Blake Sabol (27560631),Trey Mancini (27560635),Nico Hoerner (27560571),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Ian Happ (27560555),Juan Soto (27560557),Seiya Suzuki (27560554),49500.0,218.6,10566.100000000202,4175.0,0,4,0,0,0,0,0,0,3,1,98.69898299999993,95.785,122.68200000000002,150.051,1.5308023952096292,2.535522628767682
1157,Kodai Senga (27560531),Michael Wacha (27560533),Austin Barnes (27560670),Freddie Freeman (27560548),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),J.D. Martinez (27560567),Juan Soto (27560557),Yonathan Daza (27560621),49900.0,217.7,10583.800000000216,4182.0,0,0,0,1,3,0,0,0,4,0,100.62348799999998,97.64,125.15400000000002,154.83299999999997,1.5307986609278372,2.5353436095421027
1158,Kodai Senga (27560531),Matt Strahm (27560537),Gabriel Moreno (27560656),Christian Walker (27560614),Bryson Stott (27560585),Josh Rojas (27560572),Geraldo Perdomo (27560593),Kyle Schwarber (27560542),Lourdes Gurriel Jr. (27560599),Nick Castellanos (27560553),49700.0,163.8,10507.800000000178,4152.0,5,0,0,0,0,0,3,0,0,0,92.73548299999999,90.18,115.072,143.71149999999997,1.530780346820852,2.5353581346592176
1159,Matt Strahm (27560537),Roansy Contreras (27560538),Gabriel Moreno (27560656),Freddie Freeman (27560548),Nico Hoerner (27560571),Josh Rojas (27560572),Dansby Swanson (27560546),Cody Bellinger (27560612),Ian Happ (27560555),Seiya Suzuki (27560554),49500.0,203.6,10591.300000000208,4185.0,2,5,0,0,1,0,0,0,0,0,89.91683199999987,86.86,113.57,142.66299999999995,1.5307765830346973,2.5354377479343064
1160,Kodai Senga (27560531),Matt Strahm (27560537),Gabriel Moreno (27560656),Christian Walker (27560614),Ketel Marte (27560573),Ke'Bryan Hayes (27560582),Rodolfo Castro (27560615),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Corbin Carroll (27560580),49500.0,188.2,10538.100000000186,4164.0,4,0,0,0,0,0,0,4,0,0,94.83998300000002,91.485,119.71600000000002,149.98099999999997,1.5307636887608516,2.5354963917159155
1161,Kodai Senga (27560531),Luke Weaver (27560539),Yan Gomes (27560620),Eric Hosmer (27560639),Nico Hoerner (27560571),Max Muncy (27560561),Dansby Swanson (27560546),Ian Happ (27560555),J.D. Martinez (27560567),Trayce Thompson (27560625),49600.0,158.1,10505.20000000021,4151.0,0,5,0,0,3,0,0,0,0,0,90.869844,88.09,113.7,142.72399999999993,1.5307636714045314,2.5354871055420554
1162,Kodai Senga (27560531),Sean Manaea (27560532),Yan Gomes (27560620),Pavin Smith (27560633),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Cody Bellinger (27560612),Ian Happ (27560555),Juan Soto (27560557),50000.0,215.5,10431.8000000002,4122.0,1,3,0,0,0,0,0,0,4,0,100.37755399999999,97.56,124.43,154.7579999999999,1.5307617661329935,2.53537287120453
1163,Matt Strahm (27560537),Michael Grove (27560536),Tyler Stephenson (27560568),Pete Alonso (27560545),Jonathan India (27560549),Spencer Steer (27560617),Francisco Lindor (27560562),Jake Fraley (27560563),Mark Canha (27560609),Tommy Pham (27560606),49900.0,96.5,10507.600000000184,4152.0,0,0,4,0,0,4,0,0,0,0,84.94188400000012,81.945,108.03,138.17099999999996,1.5307321772640134,2.5353581346592176
1164,Michael Grove (27560536),Ryne Nelson (27560535),Tyler Stephenson (27560568),Wil Myers (27560610),Bryson Stott (27560585),Spencer Steer (27560617),Trea Turner (27560541),Jake Fraley (27560563),Kyle Schwarber (27560542),Josh Harrison (27560647),50000.0,82.6,10487.30000000018,4144.0,0,0,4,0,0,0,4,0,0,0,97.43123099999964,94.0,125.33200000000001,158.99299999999997,1.5307191119691552,2.535426393606436
1165,Luke Weaver (27560539),Sean Manaea (27560532),J.T. Realmuto (27560544),Alec Bohm (27560565),Bryson Stott (27560585),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Brandon Marsh (27560558),Jake Cave (27560637),Juan Soto (27560557),49700.0,174.4,10497.400000000189,4148.0,0,0,0,0,0,0,5,0,3,0,99.30533100000021,96.315,125.00200000000001,155.62,1.530713596914221,2.535392231221088
1166,Luke Weaver (27560539),Michael Wacha (27560533),J.T. Realmuto (27560544),Matt Carpenter (27560644),Ha-Seong Kim (27560636),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Bryan Reynolds (27560543),Juan Soto (27560557),Kyle Schwarber (27560542),49600.0,192.4,10424.000000000262,4119.0,0,0,0,0,0,0,2,1,5,0,96.01407099999987,93.11500000000001,119.03400000000002,147.61,1.5307113377033896,2.5355200230893593
1167,Kodai Senga (27560531),Roansy Contreras (27560538),J.T. Realmuto (27560544),Matt Carpenter (27560644),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Brandon Marsh (27560558),Corbin Carroll (27560580),Juan Soto (27560557),49600.0,235.8,10573.300000000203,4178.0,1,0,0,0,0,0,2,0,5,0,98.84957399999962,95.475,124.61,158.11149999999998,1.530708472953615,2.5353774473683757
1168,Luke Weaver (27560539),Ryne Nelson (27560535),J.T. Realmuto (27560544),Freddie Freeman (27560548),Bryson Stott (27560585),Max Muncy (27560561),Trea Turner (27560541),David Peralta (27560638),James Outman (27560581),Trayce Thompson (27560625),49700.0,151.7,10469.500000000206,4137.0,0,0,0,0,5,0,3,0,0,0,90.51327200000013,87.6,113.50200000000001,142.42049999999998,1.5306985738458316,2.535365476215874
1169,Luke Weaver (27560539),Sean Manaea (27560532),J.T. Realmuto (27560544),Freddie Freeman (27560548),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),David Peralta (27560638),James Outman (27560581),Juan Soto (27560557),49400.0,217.3,10421.400000000236,4118.0,0,0,0,0,3,0,1,0,4,0,101.13603100000022,97.775,125.59400000000002,155.62399999999994,1.5306945118990374,2.535407230477191
1170,Kodai Senga (27560531),Michael Wacha (27560533),Austin Nola (27560668),Pete Alonso (27560545),Ha-Seong Kim (27560636),Max Muncy (27560561),Fernando Tatis Jr. (27560856),Brandon Nimmo (27560577),Juan Soto (27560557),Jeff McNeil (27560600),49200.0,188.2,5921.800000000083,2340.0,0,0,0,0,1,3,0,0,4,0,98.40908800000004,95.94999999999999,120.86,148.06299999999996,1.5306837606837962,2.538806399617552
1171,Michael Wacha (27560533),Sean Manaea (27560532),Austin Nola (27560668),Carlos Santana (27560604),Ha-Seong Kim (27560636),Josh Rojas (27560572),Fernando Tatis Jr. (27560856),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Juan Soto (27560557),49400.0,169.4,10418.800000000207,4117.0,1,0,0,0,0,0,0,3,4,0,91.49952299999967,89.32499999999999,112.99,138.23249999999996,1.5306776779208664,2.5352943830714287
1172,Kodai Senga (27560531),Sean Manaea (27560532),Austin Hedges (27560641),Pavin Smith (27560633),Ketel Marte (27560573),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Corbin Carroll (27560580),Juan Soto (27560557),Lourdes Gurriel Jr. (27560599),49200.0,190.6,10385.900000000182,4104.0,4,0,0,0,0,0,0,1,3,0,89.70955399999993,86.685,112.31200000000001,141.46249999999998,1.5306773879142743,2.5352843506591305
1173,Kodai Senga (27560531),Matt Strahm (27560537),Tyler Stephenson (27560568),Matt Carpenter (27560644),Jake Cronenworth (27560588),Spencer Steer (27560617),Xander Bogaerts (27560559),Jake Fraley (27560563),Juan Soto (27560557),Wil Myers (27560610),49600.0,163.7,10441.500000000191,4126.0,0,0,4,0,0,0,0,0,4,0,104.58048299999999,100.945,132.42,166.6279999999999,1.5306592341251068,2.535338578551884
1174,Luke Weaver (27560539),Michael Wacha (27560533),J.T. Realmuto (27560544),Jason Vosler (27560629),Bryson Stott (27560585),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Brandon Marsh (27560558),Juan Soto (27560557),Kyle Schwarber (27560542),50000.0,176.4,10426.300000000227,4120.0,0,0,1,0,0,0,4,0,3,0,95.63727099999983,93.01,119.72600000000003,148.54299999999995,1.5306553398058802,2.535390042501231
1175,Luke Weaver (27560539),Matt Strahm (27560537),Austin Barnes (27560670),Freddie Freeman (27560548),Bryson Stott (27560585),Max Muncy (27560561),Trea Turner (27560541),Cody Bellinger (27560612),J.D. Martinez (27560567),Kyle Schwarber (27560542),49800.0,198.4,10550.300000000205,4169.0,0,1,0,0,4,0,3,0,0,0,92.76711599999966,90.07,115.47800000000002,143.0005,1.530654833293405,2.5353338870484703
1176,Michael Wacha (27560533),Sean Manaea (27560532),Yan Gomes (27560620),Matt Carpenter (27560644),Ha-Seong Kim (27560636),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Juan Soto (27560557),Kyle Schwarber (27560542),Nick Castellanos (27560553),50000.0,187.4,10476.900000000203,4140.0,0,1,0,0,0,0,2,0,5,0,92.6023229999997,89.68,116.57,146.2805,1.5306521739130925,2.5352190761123365
1177,Kodai Senga (27560531),Michael Wacha (27560533),Elias Diaz (27560587),Matt Carpenter (27560644),Ha-Seong Kim (27560636),Manny Machado (27560564),Xander Bogaerts (27560559),Juan Soto (27560557),Jurickson Profar (27560592),Yonathan Daza (27560621),49500.0,139.7,10388.300000000188,4105.0,0,0,0,3,0,0,0,0,5,0,89.49428800000011,86.505,112.03400000000002,141.37249999999997,1.5306455542022384,2.5353975578818693
1178,Michael Grove (27560536),Roansy Contreras (27560538),J.T. Realmuto (27560544),Freddie Freeman (27560548),Bryson Stott (27560585),Max Muncy (27560561),Trea Turner (27560541),David Peralta (27560638),James Outman (27560581),Trayce Thompson (27560625),49800.0,183.1,10438.90000000018,4125.0,0,0,0,0,5,0,3,0,0,0,87.22687700000013,84.42,110.59200000000001,138.23,1.5306424242424679,2.5352259333588054
1179,Kodai Senga (27560531),Matt Strahm (27560537),Tyler Stephenson (27560568),Wil Myers (27560610),Jonathan India (27560549),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Jake Fraley (27560563),Juan Soto (27560557),Jose Barrero (27560660),49700.0,189.7,10456.500000000215,4132.0,0,0,5,0,0,0,0,0,3,0,105.49798299999999,102.35,131.542,163.28099999999998,1.5306147144240596,2.535287264062215
1180,Luke Weaver (27560539),Michael Wacha (27560533),Tyler Stephenson (27560568),Trey Mancini (27560635),Jonathan India (27560549),Spencer Steer (27560617),Dansby Swanson (27560546),Ian Happ (27560555),Seiya Suzuki (27560554),Wil Myers (27560610),49900.0,95.3,10383.000000000175,4103.0,0,4,4,0,0,0,0,0,0,0,94.55307099999989,90.975,119.09200000000001,150.6105,1.5305873750914392,2.5354148123580487
1181,Luke Weaver (27560539),Ryne Nelson (27560535),Yan Gomes (27560620),Matt Carpenter (27560644),Nico Hoerner (27560571),Manny Machado (27560564),Dansby Swanson (27560546),Ian Happ (27560555),Juan Soto (27560557),Seiya Suzuki (27560554),49500.0,136.5,10385.400000000189,4104.0,0,5,0,0,0,0,0,0,3,0,90.22577200000005,87.15,112.47,141.3105,1.5305555555556016,2.5352843506591305
1182,Luke Weaver (27560539),Michael Wacha (27560533),Austin Barnes (27560670),Freddie Freeman (27560548),Jeff McNeil (27560600),Patrick Wisdom (27560569),Dansby Swanson (27560546),Ian Happ (27560555),J.D. Martinez (27560567),James Outman (27560581),49800.0,152.6,10395.500000000182,4108.0,0,3,0,0,4,1,0,0,0,0,95.48897099999985,92.83,118.41400000000002,147.3405,1.5305501460565194,2.535249993939891
