,P1,P2,C,First_Base,Second_Base,Third_Base,SS,OF1,OF2,OF3,Salary,Ownership,Profit,Selections,ARI,CHC,CIN,COL,LAD,NYM,PHI,PIT,SD,SF,Mean,Median,80th Percentile,95th Percentile,Value,UCB
34,Luke Weaver (27560539),Ryne Nelson (27560535),J.T. Realmuto (27560544),Freddie Freeman (27560548),Bryson Stott (27560585),Max Muncy (27560561),Trea Turner (27560541),David Peralta (27560638),J.D. Martinez (27560567),Josh Harrison (27560647),50000.0,149.8,3613.7999999999984,1330.0,0,0,0,0,4,0,4,0,0,0,94.55127200000005,91.715,118.26200000000001,146.07299999999995,1.717142857142856,2.7314338158684754
35,Kodai Senga (27560531),Roansy Contreras (27560538),Austin Hedges (27560641),Carlos Santana (27560604),Ketel Marte (27560573),Ke'Bryan Hayes (27560582),Geraldo Perdomo (27560593),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Corbin Carroll (27560580),49700.0,160.1,7086.300000000079,2618.0,3,0,0,0,0,0,0,5,0,0,89.94667399999956,86.49,113.55400000000002,143.9605,1.706760886172681,2.714211984379325
36,Michael Wacha (27560533),Roansy Contreras (27560538),Blake Sabol (27560631),Pete Alonso (27560545),David Villar (27560590),J.D. Davis (27560574),Francisco Lindor (27560562),Brandon Nimmo (27560577),Cody Bellinger (27560612),Thairo Estrada (27560551),49300.0,116.4,3157.6999999999953,1167.0,0,1,0,0,0,3,0,0,0,4,100.79021300000022,97.695,126.602,158.21099999999998,1.7058269065981109,2.7221996359083738
37,Matt Strahm (27560537),Michael Wacha (27560533),Yan Gomes (27560620),Carlos Santana (27560604),Bryson Stott (27560585),Alec Bohm (27560565),Trea Turner (27560541),Andrew McCutchen (27560556),Nick Castellanos (27560553),Josh Harrison (27560647),49800.0,135.6,4543.400000000001,1680.0,0,1,0,0,0,0,5,2,0,0,99.85767599999988,96.73,125.022,157.73099999999997,1.7044047619047622,2.715956532800638
38,Ryne Nelson (27560535),Sean Manaea (27560532),Gabriel Moreno (27560656),Pavin Smith (27560633),Jonathan India (27560549),Ke'Bryan Hayes (27560582),Geraldo Perdomo (27560593),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Jack Suwinski (27560627),50000.0,97.6,2922.399999999998,1081.0,3,0,1,0,0,0,0,4,0,0,89.25816400000004,86.63499999999999,111.06400000000002,138.0305,1.703422756706751,2.7213755551388275
39,Kodai Senga (27560531),Michael Grove (27560536),Tyler Stephenson (27560568),Pavin Smith (27560633),Ketel Marte (27560573),Spencer Steer (27560617),Xander Bogaerts (27560559),Corbin Carroll (27560580),Jake Fraley (27560563),Lourdes Gurriel Jr. (27560599),50000.0,108.2,4763.0,1763.0,4,0,3,0,0,0,0,0,1,0,84.98526600000008,82.63,106.36400000000002,133.06099999999998,1.7016449234259785,2.712879736304635
40,Kodai Senga (27560531),Roansy Contreras (27560538),Elias Diaz (27560587),Christian Walker (27560614),Ketel Marte (27560573),Josh Rojas (27560572),Geraldo Perdomo (27560593),Corbin Carroll (27560580),James Outman (27560581),Kris Bryant (27560547),49600.0,164.7,4987.000000000044,1847.0,5,0,0,2,1,0,0,0,0,0,89.84057399999955,86.83500000000001,113.20200000000001,142.2205,1.700054141851675,2.710778004929655
41,Kodai Senga (27560531),Matt Strahm (27560537),Tyler Stephenson (27560568),Pete Alonso (27560545),Jeff McNeil (27560600),Spencer Steer (27560617),Xander Bogaerts (27560559),Jake Fraley (27560563),Mark Canha (27560609),Nick Senzel (27560653),49900.0,132.1,3342.799999999998,1239.0,0,0,4,0,0,3,0,0,1,0,100.91688299999998,97.86500000000001,124.99600000000002,153.4064999999999,1.6979822437449539,2.713322820908049
42,Roansy Contreras (27560538),Sean Manaea (27560532),Joey Bart (27560663),Jake Cronenworth (27560588),Thairo Estrada (27560551),Manny Machado (27560564),Xander Bogaerts (27560559),Juan Soto (27560557),Mike Yastrzemski (27560586),Trent Grisham (27560597),50000.0,148.2,4274.099999999998,1586.0,0,0,0,0,0,0,0,0,5,3,98.32124399999967,94.765,124.62800000000003,159.03149999999997,1.6948928121059255,2.707318395400424
43,Kodai Senga (27560531),Michael Wacha (27560533),Austin Barnes (27560670),Freddie Freeman (27560548),Jonathan India (27560549),Spencer Steer (27560617),Brandon Crawford (27560613),J.D. Martinez (27560567),James Outman (27560581),Jose Barrero (27560660),49400.0,157.6,3422.6999999999966,1271.0,0,0,3,0,4,0,0,0,0,1,91.79988800000005,89.18,113.79200000000002,139.78,1.6929189614476763,2.707951986707374
